ProbeId,GSM2808875,GSM2808876,GSM2808877,GSM2808878,GSM2808879,GSM2808880,GSM2808881,GSM2808882,GSM2808883,GSM2808884,GSM2808885,GSM2808886,GSM2808887,GSM2808888,GSM2808889,GSM2808890,GSM2808891,GSM2808892,GSM2808893,GSM2808894,GSM2808895,GSM2808896,GSM2808897,GSM2808898,GSM2808899,GSM2808900,GSM2808901,GSM2808902,GSM2808903,GSM2808904,GSM2808905,GSM2808906,GSM2808907,GSM2808908,GSM2808909,GSM2808910,GSM2808911,GSM2808912,GSM2808913,GSM2808914,GSM2808915,GSM2808916,GSM2808917,GSM2808918,GSM2808919,GSM2808920,GSM2808921,GSM2808922,GSM2808923,GSM2808924,GSM2808925,GSM2808926,GSM2808927,GSM2808928,GSM2808929,GSM2808930,GSM2808931,GSM2808932,GSM2808933,GSM2808934,GSM2808935,GSM2808936,GSM2808937,GSM2808938,GSM2808939,GSM2808940,GSM2808941,GSM2808942,GSM2808943,GSM2808944,GSM2808945,GSM2808946,GSM2808947,GSM2808948,GSM2808949,GSM2808950,GSM2808951,GSM2808952,GSM2808953,GSM2808954,GSM2808955,GSM2808956,GSM2808957,GSM2808958,GSM2808959,GSM2808960,GSM2808961,GSM2808962,GSM2808963,GSM2808964,GSM2808965,GSM2808966,GSM2808967,GSM2808968,GSM2808969,GSM2808970,GSM2808971,GSM2808972,GSM2808973,GSM2808974,GSM2808975,GSM2808976,GSM2808977,GSM2808978,GSM2808979,GSM2808980,GSM2808981,GSM2808982,GSM2808983,GSM2808984,GSM2808985,GSM2808986,GSM2808987,GSM2808988,GSM2808989,GSM2808990,GSM2808991,GSM2808992,GSM2808993,GSM2808994,GSM2808995,GSM2808996,GSM2808997,GSM2808998,GSM2808999,GSM2809000,GSM2809001,GSM2809002,GSM2809003,GSM2809004,GSM2809005,GSM2809006,GSM2809007,GSM2809008,GSM2809009,GSM2809010,GSM2809011,GSM2809012,GSM2809013,GSM2809014,GSM2809015,GSM2809016,GSM2809017,GSM2809018,GSM2809019,GSM2809020,GSM2809021,GSM2809022,GSM2809023,GSM2809024,GSM2809025,GSM2809026,GSM2809027,GSM2809028,GSM2809029,GSM2809030,GSM2809031,GSM2809032,GSM2809033,GSM2809034,GSM2809035,GSM2809036,GSM2809037,GSM2809038,GSM2809039,GSM2809040,GSM2809041,GSM2809042,GSM2809043,GSM2809044,GSM2809045,GSM2809046,GSM2809047,GSM2809048,GSM2809049,GSM2809050,GSM2809051,GSM2809052,GSM2809053,GSM2809054,GSM2809055,GSM2809056,GSM2809057,GSM2809058,GSM2809059,GSM2809060,GSM2809061,GSM2809062,GSM2809063,GSM2809064
cg21477232,0.69539,0.60982,0.69149,0.64275,0.66566,0.62748,0.70351,0.68756,0.73711,0.68536,0.85286,0.74095,0.55376,0.63061,0.55759,0.62408,0.66746,0.62935,0.65868,0.6174,0.63616,0.64031,0.74725,0.6038,0.64616,0.53837,0.6903,0.66991,0.69137,0.60715,0.68894,0.66435,0.66778,0.58353,0.7269,0.64076,0.73926,0.63902,0.68198,0.67958,0.75729,0.7054,0.71489,0.63184,0.67242,0.63744,0.72495,0.69508,0.66074,0.64207,0.70439,0.59238,0.63957,0.6066,0.65417,0.59729,0.73188,0.65539,0.70306,0.59789,0.65335,0.64156,0.76827,0.6848,0.77803,0.69566,0.6292,0.65747,0.70373,0.73374,0.60787,0.74712,0.66671,0.65641,0.65266,0.66381,0.65543,0.67089,0.6961,0.74956,0.69951,0.67723,0.71265,0.77371,0.80138,0.73468,0.69096,0.71047,0.64217,0.71937,0.7225,0.64274,0.74675,0.73791,0.68872,0.66954,0.69951,0.6998,0.62203,0.60422,0.75451,0.70008,0.71696,0.72404,0.69594,0.68415,0.69278,0.76763,0.7371,0.64738,0.6403,0.70209,0.71195,0.70389,0.74322,0.65214,0.61691,0.83624,0.70412,0.67623,0.61964,0.73037,0.65819,0.67808,0.62409,0.66082,0.73998,0.66099,0.7614,0.73026,0.65189,0.70816,0.68401,0.74397,0.72643,0.7483,0.65572,0.70425,0.7432,0.75034,0.69889,0.72091,0.74045,0.72508,0.70093,0.72537,0.69053,0.69335,0.78918,0.73675,0.77643,0.74139,0.69906,0.72035,0.74362,0.70718,0.70982,0.73794,0.73325,0.70173,0.73119,0.69567,0.63728,0.65895,0.68713,0.69681,0.71173,0.68035,0.74171,0.65587,0.68959,0.6903,0.71182,0.68243,0.75058,0.6838,0.68557,0.73212,0.69128,0.71631,0.79667,0.74305,0.74308,0.67274,0.74785,0.74623,0.7245,0.68116,0.73219,0.72521
cg15065877,0.87769,0.76195,0.88548,0.79589,0.87152,0.75582,0.89392,0.83323,0.88371,0.78963,0.89454,0.81415,0.92702,0.78912,0.87387,0.79113,0.93491,0.79816,0.87053,0.7434,0.91096,0.74003,0.93426,0.73247,0.93133,0.74532,0.87412,0.65925,0.92273,0.7606,0.92289,0.76648,0.90602,0.75312,0.90688,0.75828,0.92435,0.71442,0.90217,0.79602,0.91448,0.72045,0.92136,0.83408,0.91535,0.80291,0.89612,0.76715,0.92934,0.79907,0.92821,0.75069,0.89271,0.7483,0.88489,0.72023,0.85443,0.76615,0.92558,0.78235,0.95324,0.78064,0.80305,0.81828,0.79124,0.80157,0.86537,0.81767,0.84609,0.83549,0.70226,0.76834,0.79589,0.74927,0.74232,0.72768,0.7624,0.88052,0.79767,0.71124,0.82197,0.77975,0.7816,0.79621,0.78869,0.78578,0.78795,0.85334,0.79538,0.81108,0.77621,0.80304,0.8146,0.75335,0.78709,0.78265,0.83532,0.82308,0.80767,0.73682,0.77917,0.83163,0.76652,0.87182,0.83386,0.75277,0.87587,0.8008,0.71227,0.7775,0.80948,0.74314,0.79799,0.76103,0.84361,0.74241,0.81294,0.81708,0.85349,0.76674,0.77545,0.80638,0.77577,0.74234,0.76813,0.77974,0.84313,0.75443,0.85141,0.78397,0.93422,0.79113,0.83208,0.8323,0.78929,0.80423,0.80586,0.77236,0.79949,0.80144,0.73668,0.68659,0.72817,0.82244,0.73419,0.78244,0.77345,0.75442,0.86388,0.78977,0.79337,0.76557,0.75055,0.72968,0.82792,0.80193,0.78929,0.78176,0.81843,0.80106,0.87916,0.81337,0.78657,0.74264,0.71239,0.78983,0.76342,0.8263,0.82522,0.82406,0.82111,0.77256,0.81777,0.77283,0.82041,0.79542,0.8068,0.83576,0.81395,0.80651,0.7909,0.7506,0.83921,0.78308,0.86849,0.79501,0.78797,0.75717,0.76608,0.82817
cg22631350,0.88498,0.8868,0.8986,0.88037,0.89031,0.85397,0.90882,0.88346,0.90855,0.89917,0.88687,0.88576,0.89902,0.88127,0.88902,0.87253,0.91024,0.89336,0.8884,0.87094,0.91128,0.83312,0.9113,0.84274,0.9199,0.88708,0.89219,0.85231,0.9052,0.81815,0.91743,0.87736,0.88781,0.86173,0.9157,0.87363,0.91456,0.8548,0.92481,0.90604,0.9291,0.86112,0.93615,0.88706,0.91229,0.89077,0.91883,0.87733,0.91502,0.86812,0.91921,0.90711,0.91323,0.90296,0.92372,0.8349,0.93828,0.89468,0.92205,0.87641,0.92707,0.88162,0.87462,0.87905,0.93993,0.91488,0.89852,0.88269,0.88004,0.89914,0.85656,0.88798,0.90912,0.88164,0.89495,0.89856,0.81608,0.88433,0.8465,0.81647,0.86792,0.91086,0.86819,0.8858,0.88487,0.9259,0.88386,0.89178,0.88339,0.87652,0.84774,0.88646,0.85948,0.87754,0.85043,0.9129,0.90471,0.88117,0.90295,0.89295,0.88637,0.85417,0.85142,0.86756,0.8771,0.85459,0.90287,0.89945,0.89534,0.90388,0.86331,0.79491,0.86443,0.88688,0.887,0.86044,0.89006,0.91171,0.88652,0.87363,0.86823,0.8642,0.88158,0.873,0.85436,0.87093,0.89954,0.88078,0.89685,0.84737,0.88968,0.89515,0.87723,0.87736,0.86143,0.88794,0.86901,0.85674,0.93566,0.90885,0.85549,0.82803,0.88591,0.89859,0.88116,0.88125,0.86741,0.87434,0.86384,0.87247,0.86737,0.86658,0.84281,0.87664,0.90133,0.88704,0.89232,0.87879,0.9048,0.88572,0.87394,0.8772,0.89023,0.8805,0.86728,0.88102,0.86493,0.89032,0.87197,0.87864,0.90877,0.8632,0.87283,0.89064,0.87004,0.86141,0.89114,0.89884,0.89231,0.89515,0.8614,0.83645,0.91847,0.87605,0.90524,0.84927,0.80459,0.87015,0.87797,0.87788
cg13376768,0.90389,0.83858,0.91226,0.8756,0.87404,0.84367,0.91293,0.85947,0.93497,0.90861,0.93688,0.91876,0.89267,0.86682,0.91517,0.88942,0.91951,0.86795,0.89952,0.87285,0.92072,0.90881,0.90274,0.90583,0.93284,0.86485,0.9249,0.9048,0.92014,0.91802,0.9483,0.88739,0.91285,0.87853,0.94804,0.94241,0.94514,0.92652,0.91395,0.90217,0.94501,0.92777,0.95489,0.91294,0.9361,0.92238,0.92003,0.9127,0.939,0.92786,0.94709,0.93105,0.93972,0.89747,0.92561,0.9286,0.92924,0.87674,0.94768,0.92549,0.94397,0.85294,0.91126,0.90579,0.89272,0.91053,0.86474,0.9173,0.91922,0.90102,0.84997,0.90469,0.90717,0.93296,0.8517,0.87382,0.88844,0.91007,0.8933,0.93782,0.90489,0.88538,0.9225,0.89821,0.87782,0.97449,0.88642,0.8667,0.87019,0.89613,0.91474,0.88355,0.86664,0.87061,0.93423,0.92952,0.89059,0.87076,0.83994,0.90613,0.87418,0.90373,0.89092,0.91174,0.87871,0.87344,0.88221,0.91426,0.89447,0.89836,0.92911,0.90782,0.89208,0.89985,0.89325,0.92562,0.90812,0.88729,0.92353,0.88718,0.88751,0.87202,0.88826,0.91509,0.91811,0.8858,0.92424,0.91393,0.9123,0.91974,0.92654,0.87714,0.88648,0.91848,0.92122,0.88851,0.92861,0.91847,0.89203,0.89919,0.91975,0.95512,0.91967,0.91083,0.89456,0.90046,0.91802,0.8807,0.90443,0.90965,0.92803,0.86691,0.89507,0.92872,0.9293,0.91842,0.91008,0.91341,0.8924,0.88793,0.95133,0.87016,0.88734,0.88919,0.90052,0.88821,0.8841,0.88276,0.89046,0.90524,0.86479,0.88207,0.90935,0.91796,0.94811,0.92441,0.88634,0.94572,0.92571,0.90648,0.8513,0.89544,0.90876,0.86253,0.90087,0.92624,0.9068,0.90738,0.90692,0.90185
cg21915026,0.86627,0.79414,0.86482,0.79271,0.85192,0.80361,0.87201,0.82911,0.87816,0.81517,0.85048,0.79797,0.86762,0.79513,0.84429,0.81691,0.86273,0.81796,0.86648,0.84175,0.85331,0.87192,0.87167,0.8122,0.88164,0.87443,0.86133,0.81585,0.86177,0.88154,0.87238,0.82782,0.8419,0.74237,0.88081,0.84064,0.87166,0.86991,0.87294,0.81308,0.89019,0.85463,0.87127,0.80117,0.85824,0.84863,0.84427,0.817,0.87999,0.82852,0.86533,0.83126,0.87332,0.85201,0.8846,0.86045,0.87638,0.84298,0.88215,0.86214,0.87215,0.85169,0.82144,0.8645,0.8482,0.88899,0.88692,0.84009,0.84157,0.86027,0.86707,0.8703,0.84444,0.8641,0.87461,0.88138,0.85852,0.85699,0.84163,0.83888,0.84817,0.87141,0.85726,0.83164,0.83729,0.86492,0.87051,0.85126,0.83345,0.86863,0.87259,0.88006,0.83471,0.8591,0.88097,0.87744,0.87055,0.83142,0.84972,0.82601,0.89227,0.85492,0.87507,0.84469,0.85969,0.88234,0.85139,0.88725,0.87456,0.86631,0.87699,0.85435,0.84778,0.86768,0.85119,0.86669,0.86155,0.85334,0.83448,0.83187,0.87831,0.87103,0.87033,0.81943,0.83653,0.86393,0.86618,0.83662,0.87353,0.86767,0.87957,0.86639,0.84543,0.86333,0.88129,0.83788,0.85615,0.87257,0.87416,0.83031,0.82551,0.86889,0.90131,0.8544,0.84698,0.83507,0.8785,0.86493,0.84494,0.83599,0.85171,0.88676,0.85126,0.86293,0.88771,0.83059,0.80143,0.83826,0.85535,0.84862,0.87117,0.85255,0.85625,0.84374,0.85728,0.8518,0.85505,0.86055,0.85601,0.8381,0.86962,0.83948,0.86519,0.85148,0.85015,0.86345,0.86238,0.84253,0.88708,0.85263,0.84458,0.83106,0.89459,0.90628,0.87562,0.89589,0.87983,0.86076,0.83551,0.8593
cg23203918,0.8332,0.86335,0.88712,0.88068,0.8979,0.88589,0.92506,0.88356,0.88315,0.89741,0.88222,0.88624,0.90959,0.89655,0.84962,0.90443,0.52777,0.44292,0.91797,0.88898,0.92646,0.88998,0.90872,0.89983,0.92423,0.87141,0.8721,0.88679,0.68513,0.3966,0.88402,0.87436,0.85903,0.85851,0.92633,0.91222,0.92396,0.89937,0.92306,0.92552,0.88612,0.89992,0.88584,0.90398,0.88375,0.88039,0.87263,0.87999,0.92188,0.93157,0.91626,0.9054,0.87913,0.88727,0.88685,0.89896,0.44145,0.41813,0.91674,0.9351,0.92955,0.93179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cg23662671,0.82457,0.78362,0.78775,0.78838,0.81639,0.80003,0.82086,0.76895,0.8256,0.80362,0.79979,0.80521,0.83764,0.78345,0.85834,0.82955,0.84444,0.81712,0.81403,0.75841,0.83166,0.82104,0.83982,0.79774,0.83796,0.81073,0.81312,0.81099,0.83083,0.77832,0.82651,0.77934,0.83728,0.75842,0.867,0.80221,0.88584,0.82996,0.87421,0.80376,0.8631,0.81073,0.88461,0.81322,0.8522,0.8171,0.85696,0.79587,0.85978,0.76691,0.82696,0.80732,0.85017,0.78346,0.83115,0.82011,0.86781,0.82465,0.86428,0.77672,0.85964,0.81806,0.85374,0.82182,0.81261,0.82634,0.86725,0.84272,0.8401,0.84925,0.78367,0.8425,0.85085,0.83107,0.85113,0.85864,0.80517,0.82018,0.84098,0.81333,0.84385,0.84696,0.82729,0.87135,0.82917,0.8429,0.85752,0.8512,0.84999,0.82979,0.83469,0.82439,0.82835,0.81005,0.83739,0.83939,0.87217,0.85646,0.86611,0.87296,0.86151,0.83447,0.85448,0.82589,0.83234,0.82738,0.88675,0.84757,0.87122,0.82527,0.82136,0.78946,0.81064,0.84418,0.8336,0.84693,0.83296,0.85042,0.84854,0.76536,0.85281,0.83174,0.81947,0.83674,0.86518,0.81937,0.86461,0.82709,0.83842,0.82054,0.83168,0.83855,0.82195,0.83974,0.82195,0.80099,0.84418,0.83567,0.85188,0.85484,0.83647,0.78731,0.8519,0.84424,0.8704,0.8534,0.84965,0.85336,0.82731,0.81488,0.85569,0.85348,0.81078,0.81338,0.8452,0.82453,0.83894,0.81897,0.82078,0.84607,0.82885,0.82292,0.83344,0.82683,0.79895,0.83864,0.81934,0.82064,0.82208,0.82066,0.86597,0.81763,0.83491,0.85688,0.83489,0.7848,0.83755,0.8489,0.82772,0.86528,0.77352,0.83449,0.84654,0.8205,0.84581,0.83769,0.77812,0.81302,0.82416,0.8244
cg21646955,0.46754,0.5266,0.45074,0.53834,0.49787,0.52951,0.44493,0.53461,0.46336,0.56447,0.49747,0.5377,0.51665,0.57334,0.44759,0.5627,0.51191,0.61246,0.51345,0.59875,0.44385,0.60832,0.47271,0.56238,0.49938,0.65787,0.426,0.54883,0.49284,0.69131,0.49176,0.60606,0.50181,0.59545,0.4757,0.67189,0.49268,0.65125,0.50835,0.60158,0.51325,0.67316,0.51567,0.66449,0.50518,0.67565,0.5405,0.61497,0.48947,0.61625,0.47881,0.67601,0.50622,0.62297,0.49493,0.64925,0.51836,0.64209,0.49318,0.6579,0.53543,0.60851,0.54571,0.5525,0.56555,0.59467,0.59045,0.60032,0.61423,0.528,0.48714,0.57325,0.59673,0.60705,0.52152,0.52942,0.59802,0.56839,0.57397,0.53313,0.55877,0.55661,0.63509,0.57485,0.55858,0.58104,0.5976,0.56731,0.60543,0.55021,0.64845,0.59383,0.61298,0.56972,0.56972,0.61605,0.55608,0.54417,0.55467,0.52041,0.54086,0.62955,0.50688,0.55245,0.55808,0.5754,0.60572,0.59026,0.58124,0.57335,0.5435,0.59805,0.59265,0.5831,0.59716,0.59137,0.59721,0.62742,0.59752,0.58109,0.56087,0.5762,0.64482,0.58807,0.61622,0.61893,0.57869,0.57815,0.57604,0.63051,0.63536,0.58616,0.59299,0.59044,0.63768,0.60936,0.64679,0.63158,0.52208,0.53813,0.58453,0.62832,0.65442,0.56797,0.56497,0.62285,0.59352,0.58755,0.60789,0.58924,0.57177,0.56444,0.62854,0.60893,0.6213,0.63373,0.60723,0.59912,0.56938,0.56408,0.5889,0.56098,0.55478,0.57556,0.61481,0.64824,0.55573,0.56155,0.60999,0.5942,0.54873,0.57527,0.54977,0.61581,0.5557,0.60218,0.56035,0.59308,0.63033,0.56692,0.54929,0.61747,0.57409,0.56723,0.62161,0.60258,0.58552,0.59153,0.61437,0.60197
cg02764093,0.12762,0.29925,0.13259,0.18743,0.13203,0.23896,0.12933,0.20559,0.15014,0.28523,0.12835,0.24843,0.10366,0.20819,0.10383,0.22244,0.12965,0.229,0.18469,0.2071,0.14459,0.2405,0.13011,0.21995,0.099628,0.18864,0.13163,0.21481,0.11236,0.21149,0.096492,0.20744,0.10635,0.23181,0.094757,0.20693,0.10259,0.22466,0.095718,0.27247,0.088407,0.20317,0.083408,0.31446,0.099262,0.25317,0.10514,0.25804,0.10224,0.24581,0.077747,0.14503,0.099795,0.27969,0.11967,0.21234,0.16485,0.29937,0.10298,0.2477,0.11022,0.28011,0.31813,0.25636,0.28395,0.28213,0.23465,0.32733,0.26303,0.29073,0.31046,0.3119,0.29285,0.25486,0.33694,0.32452,0.30011,0.22346,0.28243,0.30623,0.31797,0.37575,0.26161,0.32215,0.33857,0.21253,0.30017,0.32001,0.3,0.25827,0.25758,0.30284,0.26936,0.30983,0.24691,0.24662,0.27359,0.35406,0.26164,0.32218,0.30461,0.26311,0.28911,0.2623,0.2981,0.26061,0.27838,0.30241,0.28584,0.29104,0.39069,0.24886,0.33253,0.29994,0.28392,0.25675,0.30837,0.31993,0.30734,0.30953,0.28786,0.26831,0.32064,0.27367,0.2744,0.27424,0.26773,0.26973,0.32813,0.32701,0.25378,0.29226,0.24994,0.26903,0.23177,0.25493,0.2249,0.2247,0.33053,0.33204,0.26639,0.18007,0.27049,0.32668,0.27788,0.29385,0.2991,0.27712,0.27085,0.26894,0.31825,0.2859,0.2393,0.24331,0.25903,0.27299,0.29862,0.24979,0.23485,0.23541,0.19311,0.30362,0.24854,0.29266,0.23974,0.24031,0.27933,0.23632,0.28535,0.29427,0.28652,0.28654,0.24602,0.24583,0.29683,0.24411,0.2474,0.26466,0.28154,0.22314,0.25399,0.26221,0.2635,0.27824,0.25381,0.26176,0.26938,0.2823,0.24631,0.282
cg03903472,0.87671,0.86336,0.90491,0.89698,0.8857,0.87096,0.91285,0.89742,0.90772,0.88956,0.88612,0.87895,0.87684,0.87788,0.90375,0.86507,0.9162,0.89099,0.90277,0.86153,0.90214,0.88486,0.89392,0.86104,0.91859,0.89226,0.89951,0.89748,0.90969,0.8719,0.89383,0.85692,0.89941,0.86161,0.92026,0.91535,0.9046,0.89943,0.91028,0.89909,0.89857,0.90945,0.89163,0.90311,0.90456,0.87978,0.89946,0.89072,0.90681,0.89477,0.90721,0.91845,0.89535,0.89738,0.90077,0.89811,0.901,0.87351,0.91738,0.89632,0.92718,0.89374,0.91327,0.90834,0.90128,0.91087,0.88892,0.90502,0.91081,0.91754,0.90139,0.91784,0.91176,0.95908,0.93905,0.92392,0.93051,0.91241,0.90646,0.94027,0.9183,0.90556,0.93766,0.91958,0.94826,0.89261,0.92334,0.92038,0.91971,0.89323,0.92436,0.92906,0.91127,0.91441,0.88771,0.92513,0.92439,0.94768,0.90003,0.94236,0.9298,0.91274,0.92723,0.92768,0.92719,0.92536,0.92919,0.91485,0.9194,0.93381,0.91678,0.89039,0.91735,0.90278,0.8861,0.89192,0.89589,0.9383,0.93157,0.90498,0.91863,0.91656,0.92219,0.90385,0.92087,0.90819,0.92136,0.89118,0.90363,0.91004,0.92628,0.9055,0.90187,0.89624,0.90839,0.91781,0.93204,0.88471,0.94603,0.91696,0.93645,0.89553,0.92072,0.91603,0.92483,0.93031,0.90345,0.8866,0.90625,0.91983,0.9447,0.90636,0.90334,0.90904,0.917,0.89272,0.9247,0.93281,0.91897,0.91249,0.94034,0.92335,0.93424,0.89039,0.859,0.9028,0.914,0.91751,0.89839,0.9029,0.92034,0.88499,0.91645,0.91553,0.91263,0.91467,0.91018,0.91532,0.907,0.88467,0.90632,0.90022,0.8981,0.90381,0.87752,0.92195,0.89869,0.9291,0.92535,0.9244
